		p	p_id	p_name	p_charge	p_formula	p_kegg
glu-D	cpd_glu-D	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
glu-L	cpd_glu-L	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
gln-L	cpd_gln-L	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
glntrna	cpd_glntrna	0.466418798313217	0.0005017605633802816	0.7516733067729083	0.004011865271752999	8.37245092218107e-05	0.0008362676056338028
f6p	cpd_f6p	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
gam6p	cpd_gam6p	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
10fthf	cpd_10fthf	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
gar	cpd_gar	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
fgam	cpd_fgam	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
thf	cpd_thf	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
fum	cpd_fum	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
mal-L	cpd_mal-L	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
fmn	cpd_fmn	0.6769087440641398	0.0005017605633802816	0.00033473048314771204	0.004011865271752999	0.6446583143507973	0.0008362676056338028
fmnh2	cpd_fmnRD	0.6769087440641398	0.0005017605633802816	0.00033473048314771204	0.004011865271752999	0.6446583143507973	0.0008362676056338028
fad	cpd_fad	0.6769087440641398	0.0005017605633802816	0.00033473048314771204	0.004011865271752999	0.6446583143507973	0.0008362676056338028
mettrna	cpd_mettrna	0.466418798313217	0.0005017605633802816	0.7516733067729083	0.004011865271752999	8.37245092218107e-05	0.0008362676056338028
fmettrna	cpd_fmettrna	0.02185292451613392	0.0005017605633802816	0.7516733067729083	0.00010293838428147732	8.37245092218107e-05	0.0008362676056338028
fdp	cpd_fdp	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
dhap	cpd_dhap	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
g3p	cpd_g3p	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
2pg	cpd_2pg	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
pep	cpd_pep	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
pyr	cpd_pyr	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
dxyl5p	cpd_dxyl5p	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
4hbz	cpd_4hbz	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
octdp	cpd_octdp	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
3ophb	cpd_3ophb	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
frdp	cpd_frdp	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
pheme	cpd_pheme	0.9979384025252052	0.0005017605633802816	0.7516733067729083	0.00010293838428147732	0.6446583143507973	0.0008362676056338028
hemeO	cpd_hemeO	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
dadp	cpd_dadp	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
datp	cpd_datp	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
glc-D	cpd_glc-D	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
g6p	cpd_g6p	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
dudp	cpd_dudp	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
dutp	cpd_dutp	0.9999472032623282	0.0005017605633802816	0.7516733067729083	0.004011865271752999	0.6446583143507973	0.0008362676056338028
